,GAME,BET TYPE,BET,VALUE,ODDS,Probability of accuracy,Payout if win
0,TCU vs BYU,ML,TCU ML,31,600,0.9256303758689761,217
1,South Carolina vs Arkansas,ML,South Carolina ML,21,470,0.7307070707070706,119.7
2,Stanford vs North Carolina,ML,Stanford ML,16,140,0.9762257169287697,38.4
3,Stanford vs North Carolina,SPREAD,Stanford +3.5,12,-110,0.9762257169287697,22.91
4,Utah vs Texas Tech,SPREAD,Utah +17.5,12,-110,0.9697741040255439,22.91
5,TCU vs BYU,SPREAD,TCU +12.5,11,-110,0.9256303758689761,21
6,Arizona St. vs Arizona,SPREAD,Arizona St. +21.5,11,-110,0.9242836879432625,21
7,Arizona St. vs Arizona,OVER UNDER,Under 168.5,8,-110,0.8271461583696271,15.27
8,Northwestern vs Illinois,OVER UNDER,Over 152.5,8,-110,0.8208755006115254,15.27
9,TCU vs BYU,OVER UNDER,Under 158.5,8,-110,0.8098374970386617,15.27
10,Washington vs Michigan,OVER UNDER,Over 164.5,7,-110,0.7696050757806937,13.36
11,Northwestern vs Illinois,SPREAD,Illinois +8.5,6,-110,0.7602682560703563,11.45
12,South Carolina vs Arkansas,SPREAD,South Carolina +10.5,6,-110,0.7307070707070706,11.45
13,Utah vs Texas Tech,OVER UNDER,Over 159.5,5,-110,0.7070665042042373,9.55
14,Stanford vs North Carolina,OVER UNDER,Under 144.5,4,-110,0.6829349124624688,7.64
15,Washington vs Michigan,SPREAD,Washington -12.5,3,-110,0.6457519308545454,5.73
16,Nevada vs Utah St.,SPREAD,Nevada +13.5,11,-110,0.9242836879432625,21
17,Nevada vs Utah St.,OVER UNDER,Under 152.5,6,-110,0.7425570337712524,11.45
18,Mississippi vs Georgia,ML,Mississippi ML,14,470,0.5497113997113996,79.8
19,Mississippi vs Georgia,OVER UNDER,Under 160.5,7,-110,0.7825383152323723,13.36
20,Mississippi vs Georgia,SPREAD,Mississippi +10.5,3,-110,0.6421528794584195,5.73
21,Vanderbilt vs Texas,ML,Vanderbilt ML,8,-230,0.995,11.48
22,Vanderbilt vs Texas,SPREAD,Vanderbilt -5.5,7,-110,0.7875745263780569,13.36
23,Winthrop vs High Point,SPREAD,High Point +1.5,9,-110,0.8590821256038648,17.18
24,Winthrop vs High Point,OVER UNDER,Over 163.5,9,-110,0.8443453611291561,17.18
25,Southern Illinois vs Drake,OVER UNDER,Under 147.5,7,-110,0.7796341781018329,13.36
26,Southern Illinois vs Drake,SPREAD,Southern Illinois -5.5,5,-110,0.7152295959015935,9.55
27,Temple vs Memphis,OVER UNDER,Under 146.5,5,-110,0.7054183063740354,9.55
28,Temple vs Memphis,SPREAD,Memphis -7.5,3,-110,0.6487531853489301,5.73
29,Temple vs Memphis,ML,Temple ML,3,275,0.35124681465106994,11.25
30,Southern Illinois vs Drake,ML,Southern Illinois ML,2,-258,0.8042836879432624,2.78
31,Virginia Tech vs SMU,ML,Virginia Tech ML,21,270,0.9333333333333333,77.7
32,Colorado vs Cincinnati,ML,Colorado ML,17,285,0.7909221244705116,65.45
33,UCF vs Kansas St.,ML,UCF ML,14,110,0.995,29.4
34,Xavier vs Butler,ML,Xavier ML,14,105,0.995,28.7
35,Xavier vs Butler,SPREAD,Xavier +1.5,13,-110,0.995,24.82
36,UCF vs Kansas St.,SPREAD,UCF +1.5,13,-110,0.995,24.82
37,Virginia Tech vs SMU,SPREAD,Virginia Tech +7.5,11,-110,0.9333333333333333,21
38,Auburn vs Missouri,ML,Auburn ML,11,-108,0.9190142256060909,21.19
39,Auburn vs Missouri,SPREAD,Auburn +1.5,11,-110,0.9190142256060909,21
40,Kentucky vs LSU,OVER UNDER,Over 153.5,10,-110,0.890306856211468,19.09
41,UCLA vs Penn St.,ML,UCLA ML,10,-170,0.995,15.88
42,Pittsburgh vs Georgia Tech,ML,Pittsburgh ML,9,-118,0.8796256228691319,16.63
43,Purdue vs Iowa,SPREAD,Purdue -10.5,9,-110,0.853368263473054,17.18
44,Kentucky vs LSU,ML,Kentucky ML,9,-192,0.995,13.69
45,Purdue vs Iowa,OVER UNDER,Under 143.5,9,-110,0.8462356621298734,17.18
46,Duke vs California,OVER UNDER,Under 152.5,8,-110,0.8305805310943892,15.27
47,Virginia Tech vs SMU,OVER UNDER,Over 157.5,8,-110,0.8296633907800409,15.27
48,UCF vs Kansas St.,OVER UNDER,Under 170.5,8,-110,0.8288130372423883,15.27
49,Kentucky vs LSU,SPREAD,LSU +4.5,8,-110,0.8186666666666667,15.27
50,UCLA vs Penn St.,OVER UNDER,Under 148.5,8,-110,0.8013128250362938,15.27
51,UCLA vs Penn St.,SPREAD,UCLA -3.5,7,-110,0.7949334808643582,13.36
52,Duke vs California,SPREAD,Duke -12.5,6,-110,0.7416038554264424,11.45
53,Xavier vs Butler,OVER UNDER,Over 161.5,6,-110,0.7345665042042373,11.45
54,Southern Miss vs Troy,ML,Southern Miss ML,24,350,0.9664696193677941,108
55,Richmond vs La Salle,ML,Richmond ML,25,310,0.995,102.5
56,Pacific vs Santa Clara,ML,Pacific ML,22,675,0.6292568542568542,170.5
57,South Dakota St. vs North Dakota St.,ML,South Dakota St. ML,17,200,0.9052360688956433,51
58,Furman vs Samford,ML,Furman ML,14,110,0.9811942570489535,29.4
59,Furman vs Samford,SPREAD,Furman +1.5,12,-110,0.9811942570489535,22.91
60,Loyola Marymount vs Oregon St.,SPREAD,Oregon St. +1.5,12,-110,0.979810298102981,22.91
61,Portland vs Pepperdine,SPREAD,Pepperdine +2.5,12,-110,0.9680455922206281,22.91
62,Southern Miss vs Troy,SPREAD,Southern Miss +8.5,12,-110,0.9664696193677941,22.91
63,Boston University vs Lehigh,OVER UNDER,Under 142.5,12,-110,0.9482831052247551,22.91
64,Tulsa vs Charlotte,OVER UNDER,Over 149.5,11,-110,0.9208791208791209,21
