,GAME,BET TYPE,BET,VALUE,ODDS,Probability of accuracy,Payout if win
0,New Hampshire vs Nebraska,SPREAD,Nebraska -30.5,2,-110,0.7394600253082529,3.82
1,Seton Hall vs Marquette,ML,Seton Hall ML,3,-142,0.9933333333333334,5.11
2,Seton Hall vs Marquette,OVER UNDER,Under 142.5,2,-110,0.7894294639191274,3.82
3,Seton Hall vs Marquette,SPREAD,Seton Hall -2.5,1,-110,0.7089482987692579,1.91
4,Fresno St. vs Utah St.,ML,Fresno St. ML,18,800,0.921875,162
5,Fresno St. vs Utah St.,SPREAD,Fresno St. +13.5,3,-110,0.921875,5.73
6,Boise St. vs New Mexico,ML,Boise St. ML,1,-225,0.9362068965517242,1.44
7,Fresno St. vs Utah St.,OVER UNDER,Under 153.5,1,-110,0.628913260219342,1.91
8,Louisville vs California,OVER UNDER,Under 159.5,2,-110,0.803271354518819,3.82
9,Stanford vs Notre Dame,ML,Stanford ML,2,-230,0.995,2.87
10,Stanford vs Notre Dame,SPREAD,Stanford -5.5,2,-110,0.7737570419386569,3.82
11,Creighton vs Butler,ML,Creighton ML,2,-218,0.9610685483870969,2.92
12,Pittsburgh vs Miami FL,OVER UNDER,Under 147.5,2,-110,0.7421165817770232,3.82
13,North Carolina vs Florida St.,OVER UNDER,Under 161.5,1,-110,0.7247144229742714,1.91
14,North Carolina vs Florida St.,SPREAD,Florida St. +14.5,1,-110,0.7219031770798023,1.91
15,Louisville vs California,ML,Louisville ML,1,-340,0.995,1.29
16,Stanford vs Notre Dame,OVER UNDER,Under 145.5,1,-110,0.6779094795813062,1.91
17,Louisville vs California,SPREAD,Louisville -8.5,1,-110,0.6303891838867208,1.91
18,Miami OH vs Bowling Green,ML,Miami OH ML,6,180,0.99,16.8
19,Pacific vs Loyola Marymount,ML,Pacific ML,5,180,0.9141770527859239,14
20,Ohio vs Central Michigan,SPREAD,Central Michigan +5.5,3,-110,0.995,5.73
21,Miami OH vs Bowling Green,SPREAD,Miami OH +4.5,3,-110,0.99,5.73
22,Pacific vs Loyola Marymount,SPREAD,Pacific +5.5,3,-110,0.9141770527859239,5.73
23,Vermont vs Princeton,SPREAD,Princeton +2.5,2,-110,0.850909090909091,3.82
24,Colorado St. vs Nevada,ML,Colorado St. ML,2,-166,0.96,3.2
25,Temple vs Charlotte,ML,Temple ML,2,100,0.7877320954907161,4
26,East Tennessee St. vs The Citadel,SPREAD,East Tennessee St. -12.5,2,-110,0.7864843146659297,3.82
27,Massachusetts vs Eastern Michigan,OVER UNDER,Under 148.5,2,-110,0.7678993082644199,3.82
28,Santa Clara vs Portland,SPREAD,Santa Clara -12.5,2,-110,0.7609287591103742,3.82
29,Pacific vs Loyola Marymount,OVER UNDER,Under 137.5,2,-110,0.7531475748194014,3.82
30,Northwestern vs Howard,SPREAD,Howard +20.5,1,-110,0.7219031770798023,1.91
31,Tennessee vs South Carolina St.,SPREAD,South Carolina St. +45.5,1,-110,0.7219031770798023,1.91
32,Temple vs Charlotte,OVER UNDER,Over 143.5,1,-110,0.6920313792960645,1.91
33,Colorado St. vs Nevada,OVER UNDER,Under 144.5,1,-110,0.685050505050505,1.91
34,Washington St. vs Seattle,SPREAD,Seattle -4.5,1,-110,0.6770944339104035,1.91
35,Miami OH vs Bowling Green,OVER UNDER,Over 153.5,1,-110,0.6739333915384336,1.91
36,Southeastern Louisiana vs Incarnate Word,SPREAD,Incarnate Word -8.5,1,-110,0.6735856619805789,1.91
37,Duquesne vs Davidson,SPREAD,Davidson -3.5,1,-110,0.6716522570396551,1.91
38,Colorado St. vs Nevada,SPREAD,Colorado St. -3.5,1,-110,0.6669543208502214,1.91
39,Wyoming vs Air Force,SPREAD,Wyoming -12.5,1,-110,0.6666182042784687,1.91
40,Tennessee St. vs Tennessee Tech,SPREAD,Tennessee St. +2.5,1,-110,0.6644746145587316,1.91
41,San Diego St. vs San Jose St.,SPREAD,San Jose St. +10.5,1,-110,0.6616482842897766,1.91
42,Western Michigan vs Toledo,SPREAD,Western Michigan +10.5,1,-110,0.6558921253046401,1.91
43,San Diego St. vs San Jose St.,OVER UNDER,Over 142.5,1,-110,0.6536897375546221,1.91
44,Gonzaga vs San Diego,OVER UNDER,Under 162.5,1,-110,0.6477963104074356,1.91
45,Saint Mary's vs Pepperdine,OVER UNDER,Under 141.5,1,-110,0.6429141555252808,1.91
46,South Carolina vs Albany,SPREAD,Albany +20.5,1,-110,0.6313001249890986,1.91
47,San Francisco vs Oregon St.,ML,San Francisco ML,1,-192,0.7764468290330364,1.52
48,Northern Illinois vs Buffalo,OVER UNDER,Under 154.5,2,-110,0.7873498431393169,3.82
