,GAME,BET TYPE,BET,VALUE,ODDS,Probability of accuracy,Payout if win
0,TCU vs Iowa St.,ML,TCU ML,79,260,0.9882352941176471,284.4
1,Vanderbilt vs Auburn,ML,Vanderbilt ML,59,145,0.9882352941176471,144.55
2,Oklahoma St. vs Arizona St.,ML,Oklahoma St. ML,48,130,0.9126086656035504,110.4
3,Purdue vs Nebraska,ML,Purdue ML,45,-108,0.990909090909091,86.67
4,Purdue vs Nebraska,SPREAD,Purdue +1.5,45,-110,0.990909090909091,85.91
5,Vanderbilt vs Auburn,SPREAD,Vanderbilt +3.5,44,-110,0.9882352941176471,84
6,North Carolina vs Miami FL,ML,North Carolina ML,43,-120,0.995,78.83
7,Utah vs Houston,SPREAD,Utah +16.5,42,-110,0.9623619077376302,80.18
8,Pittsburgh vs Duke,SPREAD,Pittsburgh +17.5,40,-110,0.944,76.36
9,Purdue vs Nebraska,OVER UNDER,Under 147.5,35,-110,0.8849785407725322,66.82
10,Utah vs Houston,OVER UNDER,Over 142.5,34,-110,0.8777794587997191,64.91
11,BYU vs Baylor,ML,BYU ML,33,-175,0.995,51.86
12,BYU vs Baylor,OVER UNDER,Over 158.5,33,-110,0.8638908177050799,63
13,Oklahoma St. vs Arizona St.,OVER UNDER,Over 161.5,32,-110,0.8529903969477168,61.09
14,Wisconsin vs Illinois,OVER UNDER,Under 152.5,31,-110,0.8451612903225807,59.18
15,Arkansas vs LSU,ML,Arkansas ML,28,-218,0.995,40.84
16,Arkansas vs LSU,OVER UNDER,Over 159.5,25,-110,0.7837665941025955,47.73
17,Villanova vs Marquette,OVER UNDER,Under 144.5,25,-110,0.7804421024711818,47.73
18,TCU vs Iowa St.,OVER UNDER,Under 147.5,22,-110,0.7567038241343953,42
19,Vanderbilt vs Auburn,OVER UNDER,Over 161.5,22,-110,0.7527715033595106,42
20,Wisconsin vs Illinois,SPREAD,Illinois -10.5,22,-110,0.7491589258376785,42
21,Virginia vs Florida St.,OVER UNDER,Under 152.5,21,-110,0.7448414880318578,40.09
22,SMU vs Notre Dame,SPREAD,Notre Dame +10.5,21,-110,0.7403016256422159,40.09
23,Villanova vs Marquette,SPREAD,Villanova -9.5,20,-110,0.7345679508814572,38.18
24,Virginia vs Florida St.,ML,Virginia ML,18,-375,0.995,22.8
25,North Carolina vs Miami FL,SPREAD,North Carolina -1.5,18,-110,0.7103545899229542,34.36
26,SMU vs Notre Dame,OVER UNDER,Under 152.5,17,-110,0.7042754383663474,32.45
27,BYU vs Baylor,SPREAD,Baylor +3.5,16,-110,0.6953574770596841,30.55
28,Pittsburgh vs Duke,OVER UNDER,Under 136.5,15,-110,0.6853704577449279,28.64
29,Wisconsin vs Illinois,ML,Wisconsin ML,9,455,0.2498966861598441,49.95
30,Richmond vs George Mason,ML,Richmond ML,59,145,0.9888394842152067,144.55
31,Rhode Island vs George Washington,ML,Rhode Island ML,55,150,0.9405317919075145,137.5
32,Eastern Illinois vs Western Illinois,SPREAD,Western Illinois +4.5,45,-110,0.995,85.91
33,Saint Joseph's vs Fordham,OVER UNDER,Under 135.5,34,-110,0.8797619047619047,64.91
34,Fresno St. vs Utah St.,OVER UNDER,Over 154.5,30,-110,0.8388546231382825,57.27
35,Fresno St. vs Utah St.,SPREAD,Utah St. -20.5,29,-110,0.8315717355423375,55.36
36,Eastern Illinois vs Western Illinois,OVER UNDER,Under 132.5,26,-110,0.7914769202999912,49.64
37,Colorado St. vs Air Force,OVER UNDER,Over 134.5,26,-110,0.7902214420014582,49.64
38,San Jose St. vs UNLV,OVER UNDER,Over 151.5,24,-110,0.7708229878090125,45.82
39,San Jose St. vs UNLV,SPREAD,UNLV -11.5,18,-110,0.7148589177022746,34.36
40,Washington St. vs Gonzaga,SPREAD,Washington St. +20.5,17,-110,0.7018357040653758,32.45
41,Colorado St. vs Air Force,SPREAD,Air Force +16.5,16,-110,0.6933127120087841,30.55
