,Conference,AQ,,
Abilene Christian,WAC,FALSE,,
Air Force,Mountain West,FALSE,,
Akron,MAC,FALSE,,
Alabama,SEC,FALSE,,
Alabama A&M,SWAC,FALSE,,
Alabama St.,SWAC,FALSE,,
Albany,American East,FALSE,,
Alcorn St.,SWAC,FALSE,,
American,Patriot,FALSE,,
Appalachian St.,Sun Belt,FALSE,,
Arizona,Big 12,FALSE,,
Arizona St.,Big 12,FALSE,,
Arkansas,SEC,FALSE,,
Arkansas Pine Bluff,SWAC,FALSE,,
Arkansas St.,Sun Belt,FALSE,,
Army,Patriot,FALSE,,
Auburn,SEC,FALSE,,
Austin Peay,ASUN,FALSE,,
Ball St.,MAC,FALSE,,
Baylor,Big 12,FALSE,,
Bellarmine,ASUN,FALSE,,
Belmont,Missouri Valley,FALSE,,
Bethune Cookman,SWAC,FALSE,,
Binghamton,American East,FALSE,,
Boise St.,Mountain West,FALSE,,
Boston College,ACC,FALSE,,
Boston University,Patriot,FALSE,,
Bowling Green,MAC,FALSE,,
Bradley,Missouri Valley,FALSE,,
Brown,Ivy,FALSE,,
Bryant,American East,FALSE,,
Bucknell,Patriot,FALSE,,
Buffalo,MAC,FALSE,,
Butler,Big East,FALSE,,
BYU,Big 12,FALSE,,
Cal Baptist,WAC,FALSE,,
Cal Poly,Big West,FALSE,,
Cal St. Bakersfield,Big West,FALSE,,
Cal St. Fullerton,Big West,FALSE,,
Cal St. Northridge,Big West,FALSE,,
California,ACC,FALSE,,
Campbell,CAA,FALSE,,
Canisius,MAAC,FALSE,,
Central Arkansas,ASUN,FALSE,,
Central Connecticut,NEC,FALSE,,
Central Michigan,MAC,FALSE,,
Charleston,CAA,FALSE,,
Charleston Southern,Big South,FALSE,,
Charlotte,American,FALSE,,
Chattanooga,Southern,FALSE,,
Chicago St.,NEC,FALSE,,
Cincinnati,Big 12,FALSE,,
Clemson,ACC,FALSE,,
Cleveland St.,Horizon,FALSE,,
Coastal Carolina,Sun Belt,FALSE,,
Colgate,Patriot,FALSE,,
Colorado,Big 12,FALSE,,
Colorado St.,Mountain West,FALSE,,
Columbia,Ivy,FALSE,,
Connecticut,Big East,FALSE,,
Coppin St.,MEAC,FALSE,,
Cornell,Ivy,FALSE,,
Creighton,Big East,FALSE,,
Dartmouth,Ivy,FALSE,,
Davidson,A10,FALSE,,
Dayton,A10,FALSE,,
Delaware,CUSA,FALSE,,
Delaware St.,MEAC,FALSE,,
Denver,Summit,FALSE,,
DePaul,Big East,FALSE,,
Detroit Mercy,Horizon,FALSE,,
Drake,Missouri Valley,FALSE,,
Drexel,CAA,FALSE,,
Duke,ACC,FALSE,,
Duquesne,A10,FALSE,,
East Carolina,American,FALSE,,
East Tennessee St.,Southern,FALSE,,
East Texas A&M,Southland,FALSE,,
Eastern Illinois,Ohio Valley,FALSE,,
Eastern Kentucky,ASUN,FALSE,,
Eastern Michigan,MAC,FALSE,,
Eastern Washington,Big Sky,FALSE,,
Elon,CAA,FALSE,,
Evansville,Missouri Valley,FALSE,,
Fairfield,MAAC,FALSE,,
Fairleigh Dickinson,NEC,FALSE,,
FIU,CUSA,FALSE,,
Florida,SEC,FALSE,,
Florida A&M,SWAC,FALSE,,
Florida Atlantic,American,FALSE,,
Florida Gulf Coast,ASUN,FALSE,,
Florida St.,ACC,FALSE,,
Fordham,A10,FALSE,,
Fresno St.,Mountain West,FALSE,,
Furman,Southern,FALSE,,
Gardner Webb,Big South,FALSE,,
George Mason,A10,FALSE,,
George Washington,A10,FALSE,,
Georgetown,Big East,FALSE,,
Georgia,SEC,FALSE,,
Georgia Southern,Sun Belt,FALSE,,
Georgia St.,Sun Belt,FALSE,,
Georgia Tech,ACC,FALSE,,
Gonzaga,WCC,FALSE,,
Grambling St.,SWAC,FALSE,,
Grand Canyon,WAC,FALSE,,
Green Bay,Horizon,FALSE,,
Hampton,CAA,FALSE,,
Harvard,Ivy,FALSE,,
Hawaii,Big West,FALSE,,
High Point,Big South,FALSE,,
Hofstra,CAA,FALSE,,
Holy Cross,Patriot,FALSE,,
Houston,Big 12,FALSE,,
Houston Christian,Southland,FALSE,,
Howard,MEAC,FALSE,,
Idaho,Big Sky,FALSE,,
Idaho St.,Big Sky,FALSE,,
Illinois,Big Ten,FALSE,,
Illinois Chicago,Missouri Valley,FALSE,,
Illinois St.,Missouri Valley,FALSE,,
Incarnate Word,Southland,FALSE,,
Indiana,Big Ten,FALSE,,
Indiana St.,Missouri Valley,FALSE,,
Iona,MAAC,FALSE,,
Iowa,Big Ten,FALSE,,
Iowa St.,Big 12,FALSE,,
IU Indy,Horizon,FALSE,,
Jackson St.,SWAC,FALSE,,
Jacksonville,ASUN,FALSE,,
Jacksonville St.,CUSA,FALSE,,
James Madison,Sun Belt,FALSE,,
Kansas,Big 12,FALSE,,
Kansas St.,Big 12,FALSE,,
Kennesaw St.,CUSA,FALSE,,
Kent St.,MAC,FALSE,,
Kentucky,SEC,FALSE,,
La Salle,A10,FALSE,,
Lafayette,Patriot,FALSE,,
Lamar,Southland,FALSE,,
Le Moyne,NEC,FALSE,,
Lehigh,Patriot,FALSE,,
Liberty,CUSA,FALSE,,
Lindenwood,Ohio Valley,FALSE,,
Lipscomb,ASUN,FALSE,,
Little Rock,Ohio Valley,FALSE,,
LIU,NEC,FALSE,,
Long Beach St.,Big West,FALSE,,
Longwood,Big South,FALSE,,
Louisiana,Sun Belt,FALSE,,
Louisiana Monroe,Sun Belt,FALSE,,
Louisiana Tech,CUSA,FALSE,,
Louisville,ACC,FALSE,,
Loyola Chicago,A10,FALSE,,
Loyola Marymount,WCC,FALSE,,
Loyola MD,Patriot,FALSE,,
LSU,SEC,FALSE,,
Maine,American East,FALSE,,
Manhattan,MAAC,FALSE,,
Marist,MAAC,FALSE,,
Marquette,Big East,FALSE,,
Marshall,Sun Belt,FALSE,,
Maryland,Big Ten,FALSE,,
Maryland Eastern Shore,MEAC,FALSE,,
Massachusetts,MAC,FALSE,,
McNeese St.,Southland,FALSE,,
Memphis,American,FALSE,,
Mercer,Southern,FALSE,,
Mercyhurst,NEC,FALSE,,
Merrimack,MAAC,FALSE,,
Miami FL,ACC,FALSE,,
Miami OH,MAC,FALSE,,
Michigan,Big Ten,FALSE,,
Michigan St.,Big Ten,FALSE,,
Middle Tennessee,CUSA,FALSE,,
Milwaukee,Horizon,FALSE,,
Minnesota,Big Ten,FALSE,,
Mississippi,SEC,FALSE,,
Mississippi St.,SEC,FALSE,,
Mississippi Valley St.,SWAC,FALSE,,
Missouri,SEC,FALSE,,
Missouri St.,CUSA,FALSE,,
Monmouth,CAA,FALSE,,
Montana,Big Sky,FALSE,,
Montana St.,Big Sky,FALSE,,
Morehead St.,Ohio Valley,FALSE,,
Morgan St.,MEAC,FALSE,,
Mount St. Mary's,MAAC,FALSE,,
Murray St.,Missouri Valley,FALSE,,
N.C. State,ACC,FALSE,,
Navy,Patriot,FALSE,,
Nebraska,Big Ten,FALSE,,
Nebraska Omaha,Summit,FALSE,,
Nevada,Mountain West,FALSE,,
New Hampshire,American East,FALSE,,
New Haven,NEC,FALSE,,
New Mexico,Mountain West,FALSE,,
New Mexico St.,CUSA,FALSE,,
New Orleans,Southland,FALSE,,
Niagara,MAAC,FALSE,,
Nicholls St.,Southland,FALSE,,
NJIT,American East,FALSE,,
Norfolk St.,MEAC,FALSE,,
North Alabama,ASUN,FALSE,,
North Carolina,ACC,FALSE,,
North Carolina A&T,CAA,FALSE,,
North Carolina Central,MEAC,FALSE,,
North Dakota,Summit,FALSE,,
North Dakota St.,Summit,FALSE,,
North Florida,ASUN,FALSE,,
North Texas,American,FALSE,,
Northeastern,CAA,FALSE,,
Northern Arizona,Big Sky,FALSE,,
Northern Colorado,Big Sky,FALSE,,
Northern Illinois,MAC,FALSE,,
Northern Iowa,Missouri Valley,FALSE,,
Northern Kentucky,Horizon,FALSE,,
Northwestern,Big Ten,FALSE,,
Northwestern St.,Southland,FALSE,,
Notre Dame,ACC,FALSE,,
Oakland,Horizon,FALSE,,
Ohio,MAC,FALSE,,
Ohio St.,Big Ten,FALSE,,
Oklahoma,SEC,FALSE,,
Oklahoma St.,Big 12,FALSE,,
Old Dominion,Sun Belt,FALSE,,
Oral Roberts,Summit,FALSE,,
Oregon,Big Ten,FALSE,,
Oregon St.,WCC,FALSE,,
Pacific,WCC,FALSE,,
Penn,Ivy,FALSE,,
Penn St.,Big Ten,FALSE,,
Pepperdine,WCC,FALSE,,
Pittsburgh,ACC,FALSE,,
Portland,WCC,FALSE,,
Portland St.,Big Sky,FALSE,,
Prairie View A&M,SWAC,FALSE,,
Presbyterian,Big South,FALSE,,
Princeton,Ivy,FALSE,,
Providence,Big East,FALSE,,
Purdue,Big Ten,FALSE,,
Purdue Fort Wayne,Horizon,FALSE,,
Queens,ASUN,FALSE,,
Quinnipiac,MAAC,FALSE,,
Radford,Big South,FALSE,,
Rhode Island,A10,FALSE,,
Rice,American,FALSE,,
Richmond,A10,FALSE,,
Rider,MAAC,FALSE,,
Robert Morris,Horizon,FALSE,,
Rutgers,Big Ten,FALSE,,
Sacramento St.,Big Sky,FALSE,,
Sacred Heart,MAAC,FALSE,,
Saint Francis,NEC,FALSE,,
Saint Joseph's,A10,FALSE,,
Saint Louis,A10,FALSE,,
Saint Mary's,WCC,FALSE,,
Saint Peter's,MAAC,FALSE,,
Sam Houston St.,CUSA,FALSE,,
Samford,Southern,FALSE,,
San Diego,WCC,FALSE,,
San Diego St.,Mountain West,FALSE,,
San Francisco,WCC,FALSE,,
San Jose St.,Mountain West,FALSE,,
Santa Clara,WCC,FALSE,,
Seattle,WCC,FALSE,,
Seton Hall,Big East,FALSE,,
Siena,MAAC,FALSE,,
SIU Edwardsville,Ohio Valley,FALSE,,
SMU,ACC,FALSE,,
South Alabama,Sun Belt,FALSE,,
South Carolina,SEC,FALSE,,
South Carolina St.,MEAC,FALSE,,
South Dakota,Summit,FALSE,,
South Dakota St.,Summit,FALSE,,
South Florida,American,FALSE,,
Southeast Missouri St.,Ohio Valley,FALSE,,
Southeastern Louisiana,Southland,FALSE,,
Southern,SWAC,FALSE,,
Southern Illinois,Missouri Valley,FALSE,,
Southern Indiana,Ohio Valley,FALSE,,
Southern Miss,Sun Belt,FALSE,,
Southern Utah,WAC,FALSE,,
St. Bonaventure,A10,FALSE,,
St. John's,Big East,FALSE,,
St. Thomas,Summit,FALSE,,
Stanford,ACC,FALSE,,
Stephen F. Austin,Southland,FALSE,,
Stetson,ASUN,FALSE,,
Stonehill,NEC,FALSE,,
Stony Brook,CAA,FALSE,,
Syracuse,ACC,FALSE,,
Tarleton St.,WAC,FALSE,,
TCU,Big 12,FALSE,,
Temple,American,FALSE,,
Tennessee,SEC,FALSE,,
Tennessee Martin,Ohio Valley,FALSE,,
Tennessee St.,Ohio Valley,FALSE,,
Tennessee Tech,Ohio Valley,FALSE,,
Texas,SEC,FALSE,,
Texas A&M,SEC,FALSE,,
Texas A&M Corpus Chris,Southland,FALSE,,
Texas Southern,SWAC,FALSE,,
Texas St.,Sun Belt,FALSE,,
Texas Tech,Big 12,FALSE,,
The Citadel,Southern,FALSE,,
Toledo,MAC,FALSE,,
Towson,CAA,FALSE,,
Troy,Sun Belt,FALSE,,
Tulane,American,FALSE,,
Tulsa,American,FALSE,,
UAB,American,FALSE,,
UC Davis,Big West,FALSE,,
UC Irvine,Big West,FALSE,,
UC Riverside,Big West,FALSE,,
UC San Diego,Big West,FALSE,,
UC Santa Barbara,Big West,FALSE,,
UCF,Big 12,FALSE,,
UCLA,Big Ten,FALSE,,
UMass Lowell,American East,FALSE,,
UMBC,American East,FALSE,,
UMKC,Summit,FALSE,,
UNC Asheville,Big South,FALSE,,
UNC Greensboro,Southern,FALSE,,
UNC Wilmington,CAA,FALSE,,
UNLV,Mountain West,FALSE,,
USC,Big Ten,FALSE,,
USC Upstate,Big South,FALSE,,
