,,,,,,,,,,,,,,,,,,,
,Month,Day,Year,Location,Line Favorite,Line,Over/Under,Attendance,,,,,,,,,,,
,November,3,2025,"Chicago, IL",LUC,-17.5,151.5,"2,581",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Team,Points Scored,Wins,Losses,FGM,FGA,3PTM,3PTA,FTM,FTA,OReb,DReb,AST,Steals,Turn,Pts Off Turn,Fast Break Pts,Pts in Paint,Largest Lead
,Cleveland State,88,0,1,28,64,11,30,21,23,18,29,18,2,14,9,11,22,7
,Loyola Chicago,91,1,0,29,66,14,37,19,25,12,18,21,6,7,24,8,30,11
,,,,,,,,,,,,,,,,,,,
,Player Name,Team,Bench/Starter,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OReb,DReb,AST,Steals,Turnovers,PF,Points,,
,Dayan Nessah,Cleveland State,Starter,31,8,13,1,2,8,8,3,8,2,0,3,4,25,,
,Josiah Harris,Cleveland State,Starter,29,8,20,2,7,2,2,1,5,2,0,2,1,20,,
,Tre Beard,Cleveland State,Starter,30,3,5,2,3,5,7,2,1,5,1,1,2,13,,
,Jaidon Lipscomb,Cleveland State,Starter,21,1,5,1,4,1,1,0,1,5,0,1,2,4,,
,Foster Wonders,Cleveland State,Starter,29,3,7,2,6,0,0,1,5,1,1,2,0,8,,
,Ivan Spirov,Cleveland State,Bench,6,0,0,0,0,0,0,1,2,0,0,1,2,0,,
,Holden Pierre-Louis,Cleveland State,Bench,6,0,0,0,0,0,0,0,0,0,0,1,1,0,,
,Preist Ryan,Cleveland State,Bench,12,0,1,0,0,2,2,2,0,0,0,0,3,2,,
,David Giddens,Cleveland State,Bench,7,0,0,0,0,0,0,0,1,0,0,0,0,0,,
,Kamari Jones,Cleveland State,Bench,12,3,4,3,3,3,3,0,0,1,0,0,2,12,,
,Ice Emery,Cleveland State,Bench,17,2,9,0,5,0,0,1,0,2,0,2,2,4,,
,Miles Rubin,Loyola Chicago,Starter,28,6,9,0,0,4,4,2,4,2,0,2,4,16,,
,Kayde Dotson,Loyola Chicago,Starter,34,5,11,4,10,2,3,1,2,4,3,0,2,16,,
,Justin Moore,Loyola Chicago,Starter,31,3,12,0,3,2,2,0,2,6,1,3,3,8,,
,Kymany Houinsou,Loyola Chicago,Starter,20,2,6,1,3,1,3,3,0,4,0,0,3,6,,
,Dominick Harris,Loyola Chicago,Starter,11,0,4,0,3,0,0,0,1,1,0,0,0,0,,
,Joshua Ola-Joseph,Loyola Chicago,Bench,25,2,4,1,2,6,7,1,2,0,1,1,3,11,,
,Alexander Richardson,Loyola Chicago,Bench,12,2,3,0,0,0,2,2,3,1,0,1,1,4,,
,Deywilk Tavarez,Loyola Chicago,Bench,14,5,7,5,7,1,1,0,1,2,1,0,0,16,,
,Chuck Love,Loyola Chicago,Bench,21,4,8,3,7,3,3,1,0,0,0,0,2,14,,
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
