Florida Gators,FGM,FGA,3M,3A,FTM,FTA,REB,Oreb,Turn,steal,Merrimack Warriors,FGM,FGA,3M,3A,FTM,FTA,REB,Oreb,Turn,steal,Players,Chat GPT Team,Team,Location,Opponent,Opponent Conference,Conference Game,Power,Top 25,STR/BENCH,,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,OPP ACTIVE VALUE,OPP HISTORICAL VALUE,TEAM ACTIVE VALUE,TEAM HISTORICAL VALUE,Doubles,Double Doube,Triple Double,0-3+ FG,Perfect 2 FG min 3,Perfect 3 FG min 3,Points Leader,Def Reb Leader,Off Reb Leader,Steal Leader,Assist Leader,Foul Trouble,20+ minutes,20+ points,SM,Line,Clutch ,Overtime,Attendance,Player Points,Points Florida,Points Merrimack
,,,,,,,,,,,,Line initial,,,,,,,,,Top 25,Active,Historical,MM Team,Conference,Home Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abilene Christian,,,,,,,,,,,Abilene Christian,ACU,,,,,,,,,0,,Abilene Christian - 28.974,NO,WAC,"Abilene, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Force,,,,,,,,,,,Air Force,AF,,,,,,,,,0,,Air Force - 5.743,NO,Mountain West,"Colorado Springs, CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akron,,,,,,,,,,,Akron,AKR,,,,,,,,,0,,Akron - 45.996,YES,MAC,"Akron, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,,,,,,,,,,,Alabama,ALA,,,,,,,,,1,,Alabama - 84.245,YES,SEC,"Tuscaloosa, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama A&M,,,,,,,,,,,Alabama A&M,AAMU,,,,,,,,,0,,Alabama A&M - 10.112,NO,SWAC,"Huntsville, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama St.,,,,,,,,,,,Alabama St.,,,,,,,,,,0,,Alabama St. - 28.14,YES,SWAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany,,,,,,,,,,,Albany,,,,,,,,,,0,,Albany - 10.277,NO,American East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcorn St.,,,,,,,,,,,Alcorn St.,,,,,,,,,,0,,Alcorn St. - 11.934,NO,SWAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American,,,,,,,,,,,American,AMER,,,,,,,,,0,,American - 28.006,YES,Patriot,"Washington, DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appalachian St.,,,,,,,,,,,Appalachian St.,APP,,,,,,,,,0,,Appalachian St. - 24.161,NO,Sun Belt,"Boone, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,,,,,,,,,,,Arizona,ARIZ,,,,,,,,,1,,Arizona - 66.847,YES,Big 12,"Tucson, AZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona St.,,,,,,,,,,,Arizona St.,ASU,,,,,,,,,0,,Arizona St. - 5.994,NO,Big 12,"Tempe, AZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,,,,,,,,,,,Arkansas,ARK,,,,,,,,,1,,Arkansas - 70.938,YES,SEC,"Fayetteville, AR","North Little Rock, AR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas Pine Bluff,,,,,,,,,,,Arkansas Pine Bluff,,,,,,,,,,0,,Arkansas Pine Bluff - 6.35,NO,SWAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas St.,,,,,,,,,,,Arkansas St.,ARST,,,,,,,,,0,,Arkansas St. - 31.408,NO,Sun Belt,"Jonesboro, AR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Army,,,,,,,,,,,Army,ARMY,,,,,,,,,0,,Army - 17.727,NO,Patriot,"West Point, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auburn,,,,,,,,,,,Auburn,AUB,,,,,,,,,1,,Auburn - 75.482,YES,SEC,"Auburn, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Peay,,,,,,,,,,,Austin Peay,APSU,,,,,,,,,0,,Austin Peay - 16.897,NO,ASUN,"Clarksville, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ball St.,,,,,,,,,,,Ball St.,BALL,,,,,,,,,0,,Ball St. - 8.773,NO,MAC,"Muncie, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baylor,,,,,,,,,,,Baylor,BAY,,,,,,,,,0,,Baylor - 66.073,YES,Big 12,"Waco, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellarmine,,,,,,,,,,,Bellarmine,BELL,,,,,,,,,0,,Bellarmine - 11.536,NO,ASUN,"Louisville, KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont,,,,,,,,,,,Belmont,BEL,,,,,,,,,0,,Belmont - 21.527,NO,Missouri Valley,"Nashville, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethune Cookman,,,,,,,,,,,Bethune Cookman,BCU,,,,,,,,,0,,Bethune Cookman - 17.215,NO,SWAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binghamton,,,,,,,,,,,Binghamton,BING,,,,,,,,,0,,Binghamton - 8.791,NO,American East,"Binghamton, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boise St.,,,,,,,,,,,Boise St.,BOIS,,,,,,,,,0,,Boise St. - 51.908,NO,Mountain West,"Boise, ID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston College,,,,,,,,,,,Boston College,BC,,,,,,,,,0,,Boston College - -4.666,NO,ACC,"Chestnut Hill, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston University,,,,,,,,,,,Boston University,BU,,,,,,,,,0,,Boston University - 13.941,NO,Patriot,"Boston, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowling Green,,,,,,,,,,,Bowling Green,BGSU,,,,,,,,,0,,Bowling Green - 16.824,NO,MAC,"Bowling Green, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradley,,,,,,,,,,,Bradley,BRAD,,,,,,,,,0,,Bradley - 40.224,NO,Missouri Valley,"Peoria, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown,,,,,,,,,,,Brown,BRWN,,,,,,,,,0,,Brown - 12.865,NO,Ivy,"Providence, RI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryant,,,,,,,,,,,Bryant,BRY,,,,,,,,,0,,Bryant - 36.596,YES,American East,"Smithfield, RI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bucknell,,,,,,,,,,,Bucknell,BUCK,,,,,,,,,0,,Bucknell - 12.218,NO,Patriot,"Lewisburg, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buffalo,,,,,,,,,,,Buffalo,BUF,,,,,,,,,0,,Buffalo - 7.081,NO,MAC,"Buffalo, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butler,,,,,,,,,,,Butler,BUT,,,,,,,,,0,,Butler - 4.101,NO,Big East,"Indianapolis, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BYU,,,,,,,,,,,BYU,BYU,,,,,,,,,1,,BYU - 47.854,YES,Big 12,"Provo, UT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal Baptist,,,,,,,,,,,Cal Baptist,CBU,,,,,,,,,0,,Cal Baptist - 16.932,NO,WAC,"Riverside, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal Poly,,,,,,,,,,,Cal Poly,CP,,,,,,,,,0,,Cal Poly - 11.762,NO,Big West,"San Luis Obispo, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal St. Bakersfield,,,,,,,,,,,Cal St. Bakersfield,CSUB,,,,,,,,,0,,Cal St. Bakersfield - 8.446,NO,Big West,"Bakersfield, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal St. Fullerton,,,,,,,,,,,Cal St. Fullerton,CSUF,,,,,,,,,0,,Cal St. Fullerton - 13.845,NO,Big West,"Fullerton, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal St. Northridge,,,,,,,,,,,Cal St. Northridge,CSUN,,,,,,,,,0,,Cal St. Northridge - 15.796,NO,Big West,"Northridge, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,,,,,,,,,,,California,CAL,,,,,,,,,0,,California - -19.144,NO,ACC,"Berkeley, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campbell,,,,,,,,,,,Campbell,CAM,,,,,,,,,0,,Campbell - 10.836,NO,CAA,"Buies Creek, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canisius,,,,,,,,,,,Canisius,CAN,,,,,,,,,0,,Canisius - 7.699,NO,MAAC,"Buffalo, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
