,,,,,,,,,9.1,6.5,4,3.5,0.5,5.7,,0.22037,0.58558,-8.4,,9.6,5.1,4.2,2.5,1.75,5.7859,3.5605,1.6541,2025,2024,2023,2022,21/19/18/17,-7.4,1.5,1.25,1,0.75,0.5,,-1.06848,1.56055,-0.49364,2.40336,-0.99436,1.46856,0.08569,-4.5022,-3.49112,1.63943,-0.02901,7.73187,3.52565,0.34867,1.22251,2.94483,3.11106
,Year,,Value,,,,,Win%,Last year win %,2 year prior win %,3 year prior win %,4 year prior win %,5 year prior win %,Consecutive seasons above .500 (MAX 5),Above .500 seasons in past 5 years,Above .500 seasons in past 5 years squared,Mid Major above 500 years,Below .500 years as a power conference school past 5 years,5 Year average,March Games 1 year prior (include first four),March Games 2 year prior,March Games 3 year prior,March Games 4 year prior,March Games 5 year prior,Previous Year Conference Tournament Wins,2 Year Prior Conference Tournament Wins,3 Year Prior Conference Tournament Wins,"March Location (seeding, NIT, CIT, CBI, Missed) last year","March Location (seeding, NIT, CIT, CBI, Missed) 2 year","March Location (seeding, NIT, CIT, CBI, Missed) 3 year","March Location (seeding, NIT, CIT, CBI, Missed) 4 year","March Location (seeding, NIT, CIT, CBI, Missed) 5 year",Power Misses,,,,,,Coaching changes in past 5 seasons (prior to 21-22 season for 26),Coaching Changes in last 5 years squared,March Wins past 5 seasons (not including first four),March Losses past 5 seasons (Inc first 4),March wins ^1/2,March Losses ^1/2,Upsets Made in past 5 March appearances,Upsets Made in past 5 March appearances Squared,Times upset in past 5 March appearances,Times upset in past 5 March appearances Squared,Regular season champs in past 5,Independent School once in past 5 seasons,Power School (Min 1 year in past 5 seasons),Power AQs in past 5,Number of Draft picks in past 5 season,20 Win Season Past 5 Seasons,25 Win Season Past 5 Seasons,30 Win Season Past 5 Seasons
Abilene Christian,2026,28.974,28.974,,,,,0.6,0.5,0.471,0.694,0.828,0.645,0,3,9,3,0,0.6276,0,0,0,2,1,0,1,3,Missed,Missed,CBI,Fourteen Seed,Fifteen Seed,0,-2,-2,8.5,9.5,8,1,1,1,2,1,1.4142135623731,1,1,0,0,0,0,0,0,0,2,1,0
Air Force,2026,5.743,5.743,,,,,0.333333333333333,0.125,0.29,0.379,0.2,0.375,0,0,0,0,0,0.2738,0,0,0,0,0,0,0,0,Missed,Missed,Missed,Missed,Missed,0,-2,-2,-2,-2,-2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akron,2026,45.996,45.996,,,,,0.8,0.8,0.686,0.667,0.706,0.652,5,5,25,5,0,0.7022,1,0,1,0,0,3,2,3,Thirteen Seed,Fourteen Seed,Missed,Thirteen Seed,Missed,0,9.5,9.5,-2,9.5,-2,0,0,0,3,0,1.73205080756888,0,0,0,0,1,0,0,0,1,0,0,0
Alabama,2026,84.245,84.245,,,,,0.75,0.757,0.676,0.576,0.788,0.516,5,5,25,0,0,0.6626,4,3,1,3,0,3,3,0,Two Seed,One Seed,Six Seed,Two Seed,NIT,0,12,13,11,12,9,0,0,11,5,3.3166247903554,2.23606797749979,1,1,3,9,2,0,1,2,4,4,4,1
Alabama A&M,2026,10.112,10.112,,,,,0.75,0.313,0.343,0.455,0.4,0.267,0,0,0,0,0,0.3556,0,0,0,0,0,0,1,1,Missed,CIT,Missed,Missed,Missed,0,-2,7,-2,-2,-2,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama St.,2026,28.14,28.14,,,,,0.5,0.556,0.406,0.258,0.3,0.25,1,1,1,1,0,0.354,2,0,0,0,0,3,0,0,Sixteen Seed,Missed,Missed,Missed,Missed,0,8,-2,-2,-2,-2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Albany,2026,10.277,10.277,,,,,0.333333333333333,0.515,0.406,0.419,0.438,0.438,1,1,1,1,0,0.4432,0,0,0,0,0,1,0,0,Missed,Missed,Missed,Missed,Missed,0,-2,-2,-2,-2,-2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcorn St.,2026,11.934,11.934,,,,,0,0.344,0.438,0.563,0.5,0.316,0,1,1,1,0,0.4322,0,0,0,0,0,0,0,0,Missed,Missed,Missed,NIT,NIT,0,-2,-2,-2,9,9,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
