,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,H/A/N,Conference,Opponent,Opponent Conference,Date,Location,Attendance,Non Conference Game,Neutral Site Game,Road Game,Top 25 Opponent,March Madness Opponent,Non Conference MM,Mid Major Opponent,Opponent Wins,Opponent Losses,Opponent Win Percentage,Opponent Won More than 20,Opponent Lost more than 15,Record Differential,Record Differential Squared,Win Differential Squared,SM,Line,SM+Line SQ,(SM+Line+10)^2,Cover Spread,Largest Lead,Largest Deficit,Volatility,Lost as Favorite,Won as Underdog,Tournament Caliber Game,Win Game within 8,Under .500 Opp min 5 games,15+ Win Within .150 WD min 5g,No double digit lead,Above 5 and below 15 leads,Beat line by double digits,Won by 20 against over .500 team,Within 10 line,Line over 20,Over/Under,Total Points,Player Points given up,Opp Coach Value,Opp Hist Value,Standard Point,Game Coding
111,,,,,,,0.0001,0,0,0,0,0.446520,0.893040,0,0.090000,-0.170000,6.350000,2.000,-0.730,5.5,-7.2,0.05,0.481554,0.90,0.020,0.060,3.045339,-0.151151,0.011315,-0.11315,-6,5.0,4.2995,1.22322,-1.44051,2.837291,0.18,0.384799,3.3,4.5,0.077684,-3,0,0,-0.001,0.01,0.01,0.95,
112,,,,,,,0.0001,0,0,0,0,0.390000,0.780000,0,0.085000,-0.172500,6.310000,2.100,-0.730,5.0,-7.7,0.06,0.481554,0.85,0.018,0.055,3.045339,-0.151151,0.011315,-0.11315,-9,2.0,4.2995,1.22322,-1.44051,2.837291,0.15,0.384799,3.1,4.3,0.077684,-3,0,0,-0.001,0.01,0.01,0.85,
121,,,,,,,0.0001,0,0,0,0,0.525000,1.050000,0,0.095000,-0.165000,6.370000,1.950,-0.730,5.3,-7.5,0.055,0.481554,0.75,0.015,0.050,3.045339,-0.151151,0.011315,-0.11315,-5.0,6.0,4.2995,1.22322,-1.44051,2.837291,0.22,0.384799,3.6,4.8,0.077684,-3,0,0,-0.001,0.01,0.01,1.1,
122,,,,,,,0.0001,0,0,0,0,0.475000,0.950000,0,0.090000,-0.167500,6.330000,2.050,-0.730,5.2,-7.4,0.058,0.481554,0.70,0.014,0.045,3.045339,-0.151151,0.011315,-0.11315,-3.5,4.5,4.2995,1.22322,-1.44051,2.837291,0.20,0.384799,3.5,4.7,0.077684,-3,0,0,-0.001,0.01,0.01,1,
211,,,,,,,0.0001,0,0,0,0,0.446520,0.893040,0,0.090000,-0.170000,6.340000,2.000,-0.730,4.8,-7.9,0.062,0.481554,1.05,0.025,0.070,3.045339,-0.151151,0.011315,-0.11315,-6.0,5.5,4.2995,1.22322,-1.44051,2.837291,0.20,0.384799,3.4,4.6,0.077684,-3,0,0,-0.001,0.01,0.01,1.15,
212,,,,,,,0.0001,0,0,0,0,0.390000,0.780000,0,0.085000,-0.172500,6.310000,2.100,-0.730,4.9,-7.8,0.061,0.481554,1.00,0.023,0.065,3.045339,-0.151151,0.011315,-0.11315,-4.0,3.0,4.2995,1.22322,-1.44051,2.837291,0.18,0.384799,3.2,4.4,0.077684,-3,0,0,-0.001,0.01,0.01,1,
221,,,,,,,0.0001,0,0,0,0,0.525000,1.050000,0,0.095000,-0.165000,6.360000,1.950,-0.730,5.1,-7.6,0.057,0.481554,1.15,0.030,0.080,3.045339,-0.151151,0.011315,-0.11315,-3.0,7.5,4.2995,1.22322,-1.44051,2.837291,0.24,0.384799,3.8,5.0,0.077684,-3,0,0,-0.001,0.01,0.01,1.25,
222,,,,,,,0.0001,0,0,0,0,0.475000,0.950000,0,0.090000,-0.167500,6.320000,2.050,-0.730,5.0,-7.7,0.059,0.481554,1.10,0.028,0.075,3.045339,-0.151151,0.011315,-0.11315,-2.5,6.5,4.2995,1.22322,-1.44051,2.837291,0.22,0.384799,3.7,4.9,0.077684,-3,0,0,-0.001,0.01,0.01,1.1,
311,,,,,,,0.0001,0,0,0,0,0.525000,1.050000,0,0.095000,-0.165000,6.375000,2.000,-0.730,5.4,-7.3,0.054,0.481554,0.95,0.021,0.062,3.045339,-0.151151,0.011315,-0.11315,-7.5,3.0,4.2995,1.22322,-1.44051,2.837291,0.25,0.384799,3.9,5.1,0.077684,-3,0,0,-0.001,0.01,0.01,1.3,
312,,,,,,,0.0001,0,0,0,0,0.475000,0.950000,0,0.090000,-0.167500,6.335000,2.050,-0.730,5.3,-7.4,0.053,0.481554,0.90,0.020,0.060,3.045339,-0.151151,0.011315,-0.11315,-6.5,2.5,4.2995,1.22322,-1.44051,2.837291,0.23,0.384799,3.7,4.9,0.077684,-3,0,0,-0.001,0.01,0.01,1.15,
321,,,,,,,0.0001,0,0,0,0,0.600000,1.200000,0,0.097500,-0.162500,6.380000,1.925,-0.730,5.2,-7.5,0.056,0.481554,1.25,0.035,0.090,3.045339,-0.151151,0.011315,-0.11315,-5.5,1.5,4.2995,1.22322,-1.44051,2.837291,0.20,0.384799,3.5,4.7,0.077684,-3,0,0,-0.001,0.01,0.01,1.45,
322,,,,,,,0.0001,0,0,0,0,0.525000,1.050000,0,0.092500,-0.165000,6.350000,2.075,-0.730,5.1,-7.6,0.058,0.481554,1.20,0.033,0.085,3.045339,-0.151151,0.011315,-0.11315,-4.5,1.0,4.2995,1.22322,-1.44051,2.837291,0.18,0.384799,3.3,4.5,0.077684,-3,0,0,-0.001,0.01,0.01,1.25,
