,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colin Smith,UC Santa Barbara,NEUTRAL,Lehigh,Patriot,0,0,Starter,1,29,2,9,0,3,3,4,5,3,1,1,2,1,7,0,10.886,0,31.073,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,-10.5,1,0,—,0
Hosana Kitenge,UC Santa Barbara,NEUTRAL,Lehigh,Patriot,0,0,Starter,1,19,4,5,0,0,4,6,3,1,1,1,0,4,12,0,10.886,0,31.073,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,-10.5,1,0,—,0
Zion Sensley,UC Santa Barbara,NEUTRAL,Lehigh,Patriot,0,0,Starter,1,23,2,7,0,2,6,6,3,5,0,0,0,1,10,0,10.886,0,31.073,1,0,0,0,0,1,0,1,0,0,0,0,1,0,2,-10.5,1,0,—,0
Miro Little,UC Santa Barbara,NEUTRAL,Lehigh,Patriot,0,0,Starter,1,33,5,11,0,3,10,10,0,4,2,3,3,1,20,0,10.886,0,31.073,1,0,0,0,0,1,0,0,0,1,0,0,1,1,2,-10.5,1,0,—,0
Aidan Mahaney,UC Santa Barbara,NEUTRAL,Lehigh,Patriot,0,0,Starter,1,33,5,13,1,2,0,0,0,1,1,0,3,2,11,0,10.886,0,31.073,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,-10.5,1,0,—,0
Michael Simcoe,UC Santa Barbara,NEUTRAL,Lehigh,Patriot,0,0,Bench,0,7,0,2,0,0,0,0,0,3,0,0,0,1,0,0,10.886,0,31.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-10.5,1,0,—,0
Evans Kipruto,UC Santa Barbara,NEUTRAL,Lehigh,Patriot,0,0,Bench,0,12,0,0,0,0,2,2,1,1,1,2,0,4,2,0,10.886,0,31.073,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,-10.5,1,0,—,0
Marvin McGhee IV,UC Santa Barbara,NEUTRAL,Lehigh,Patriot,0,0,Bench,0,19,2,5,0,1,0,0,1,3,0,1,0,2,4,0,10.886,0,31.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-10.5,1,0,—,0
CJ Shaw,UC Santa Barbara,NEUTRAL,Lehigh,Patriot,0,0,Bench,0,22,1,4,1,1,3,4,2,0,1,2,0,1,6,0,10.886,0,31.073,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,-10.5,1,0,—,0
Hank Alvey,Lehigh,NEUTRAL,UC Santa Barbara,Big West,0,0,Starter,1,28,7,9,2,2,6,6,2,4,3,1,1,1,22,0,31.073,0,10.886,1,0,0,0,0,1,1,0,0,0,0,0,1,1,-2,10.5,1,0,—,0
Caleb Thomas,Lehigh,NEUTRAL,UC Santa Barbara,Big West,0,0,Starter,1,19,1,2,0,1,0,0,0,0,1,1,2,1,2,0,31.073,0,10.886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,10.5,1,0,—,0
Peter Kramer,Lehigh,NEUTRAL,UC Santa Barbara,Big West,0,0,Starter,1,19,1,4,1,4,0,0,0,3,0,0,1,2,3,0,31.073,0,10.886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,10.5,1,0,—,0
Joshua Ingram,Lehigh,NEUTRAL,UC Santa Barbara,Big West,0,0,Starter,1,33,2,7,2,5,2,2,1,2,2,0,1,1,8,0,31.073,0,10.886,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-2,10.5,1,0,—,0
Nasir Whitlock,Lehigh,NEUTRAL,UC Santa Barbara,Big West,0,0,Starter,1,32,5,13,3,7,8,9,0,2,3,1,4,2,21,0,31.073,0,10.886,1,0,0,0,0,0,0,0,0,0,0,0,1,1,-2,10.5,1,0,—,0
Alfredo Addesa,Lehigh,NEUTRAL,UC Santa Barbara,Big West,0,0,Bench,0,5,1,2,1,1,2,2,0,2,0,0,0,1,5,0,31.073,0,10.886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,10.5,1,0,—,0
Jake Pike,Lehigh,NEUTRAL,UC Santa Barbara,Big West,0,0,Bench,0,18,0,0,0,0,1,2,1,3,1,0,1,3,1,0,31.073,0,10.886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,10.5,1,0,—,0
Henri Adiassa,Lehigh,NEUTRAL,UC Santa Barbara,Big West,0,0,Bench,0,7,0,0,0,0,0,0,0,2,0,0,0,4,0,0,31.073,0,10.886,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2,10.5,1,0,—,0
Jalen Vazquez,Lehigh,NEUTRAL,UC Santa Barbara,Big West,0,0,Bench,0,21,2,4,2,2,0,0,0,2,5,0,1,2,6,0,31.073,0,10.886,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-2,10.5,1,0,—,0
Andrew Urosevic,Lehigh,NEUTRAL,UC Santa Barbara,Big West,0,0,Bench,0,18,0,5,0,5,2,2,0,0,0,0,1,0,2,0,31.073,0,10.886,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-2,10.5,1,0,—,0
Shilo Jackson,Le Moyne,AWAY,Lafayette,Patriot,0,0,Starter,1,35,9,13,0,0,3,3,7,8,2,2,2,3,21,0,9.471,0,12.666,2,1,0,0,0,1,1,1,1,1,0,0,1,1,13,4.5,0,0,"1,067",0
Jakai Sanders,Le Moyne,AWAY,Lafayette,Patriot,0,0,Starter,1,33,2,10,0,2,3,4,0,2,6,2,3,3,7,0,9.471,0,12.666,0,0,0,0,0,0,0,0,0,1,1,0,1,0,13,4.5,0,0,"1,067",0
Jakob Blakley,Le Moyne,AWAY,Lafayette,Patriot,0,0,Starter,1,13,0,2,0,1,0,0,0,0,0,0,0,0,0,0,9.471,0,12.666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4.5,0,0,"1,067",0
Trent Mosquera,Le Moyne,AWAY,Lafayette,Patriot,0,0,Starter,1,34,3,9,1,5,2,2,0,8,1,2,1,0,9,0,9.471,0,12.666,0,0,0,0,0,0,0,1,0,1,0,0,1,0,13,4.5,0,0,"1,067",0
Deng Garang,Le Moyne,AWAY,Lafayette,Patriot,0,0,Starter,1,25,7,12,2,5,1,2,1,6,0,1,1,3,17,0,9.471,0,12.666,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13,4.5,0,0,"1,067",0
Isaac Nyakundi,Le Moyne,AWAY,Lafayette,Patriot,0,0,Bench,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9.471,0,12.666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4.5,0,0,"1,067",0
Trevor Roe,Le Moyne,AWAY,Lafayette,Patriot,0,0,Bench,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.471,0,12.666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4.5,0,0,"1,067",0
Samuel Hincapie,Le Moyne,AWAY,Lafayette,Patriot,0,0,Bench,0,19,4,6,0,1,0,0,0,2,0,0,0,0,8,0,9.471,0,12.666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4.5,0,0,"1,067",0
Eli Greenberg,Le Moyne,AWAY,Lafayette,Patriot,0,0,Bench,0,7,0,1,0,1,0,0,0,0,2,1,1,2,0,0,9.471,0,12.666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4.5,0,0,"1,067",0
Tennessee Rainwater,Le Moyne,AWAY,Lafayette,Patriot,0,0,Bench,0,24,4,6,1,1,5,8,2,4,3,0,1,3,14,0,9.471,0,12.666,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13,4.5,0,0,"1,067",0
Shareef Jackson,Lafayette,HOME,Le Moyne,NEC,0,0,Starter,1,18,3,6,0,0,1,3,1,3,0,1,5,3,7,0,12.666,0,9.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,-4.5,0,0,"1,067",0
Christian Humphrey-Rembert,Lafayette,HOME,Le Moyne,NEC,0,0,Starter,1,25,3,6,1,4,0,0,1,4,0,0,0,1,7,0,12.666,0,9.471,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-13,-4.5,0,0,"1,067",0
Caleb Williams,Lafayette,HOME,Le Moyne,NEC,0,0,Starter,1,37,5,16,5,13,3,3,1,4,6,0,1,1,18,0,12.666,0,9.471,1,0,0,0,0,1,0,0,0,0,1,0,1,0,-13,-4.5,0,0,"1,067",0
Andrew Phillips,Lafayette,HOME,Le Moyne,NEC,0,0,Starter,1,36,5,14,4,9,4,5,3,4,2,0,2,2,18,0,12.666,0,9.471,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-13,-4.5,0,0,"1,067",0
Mark Butler,Lafayette,HOME,Le Moyne,NEC,0,0,Starter,1,35,1,6,0,1,1,1,0,1,2,0,1,2,3,0,12.666,0,9.471,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-13,-4.5,0,0,"1,067",0
