,Players,Team,Location,Opponent,Opponent Conference,Power,Top 25,,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,OPP ACTIVE VALUE,OPP HISTORICAL VALUE,TEAM ACTIVE VALUE,TEAM HISTORICAL VALUE,Doubles,Double Doube,Triple Double,0-3+ FG,Perfect 2 FG min 3,Perfect 3 FG min 3,Points Leader,Def Reb Leader,Off Reb Leader,Steal Leader,Assist Leader,Foul Trouble,20+ minutes,20+ points,SM,Line,Clutch ,Overtime,Attendance,Player Points,Top 7,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,Player Name
Team:,,,,,,,,,Sum:,Sum:,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sum:,,,,,,,,,,,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Count (Unique):
Abilene Christian,,,,,,,,,15,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,14,492,79,113,41,33,39,44,26,43,34,23,27,41,238,8
,Bradyn Hubbard,Abilene Christian,AWAY,Stephen F. Austin,Southland,0,0,Starter,1,28,4,10,0,1,1,2,3,5,2,1,1,3,9,0,15.861,0,28.974,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-10,6.5,1,0,0,0,TRUE,1,28,4,10,0,1,1,2,3,5,2,1,1,3,9,Bradyn Hubbard
,Bradyn Hubbard,Abilene Christian,AWAY,Texas St.,Sun Belt,0,0,Starter,1,21,13,4,7,2,2,3,1,0,7,2,0,1,35,0,20.683,0,28.974,1,0,0,0,0,0,1,0,0,0,1,0,1,1,-14,1.5,0,0,"1,215",0,TRUE,1,21,13,4,7,2,2,3,1,0,7,2,0,1,35,Bradyn Hubbard
,Bradyn Hubbard,Abilene Christian,HOME,Nebraska Omaha,Summit,0,0,Starter,1,34,7,17,1,5,11,12,2,5,4,1,3,3,26,0,27.277,0,28.974,1,0,0,0,0,0,1,1,1,0,0,0,1,1,2,-4.5,1,0,"1,025",0,TRUE,1,34,7,17,1,5,11,12,2,5,4,1,3,3,26,Bradyn Hubbard
,Cade Hornecker,Abilene Christian,AWAY,Texas St.,Sun Belt,0,0,Starter,1,11,4,2,7,0,1,0,0,1,0,0,0,2,16,0,20.683,0,28.974,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,1.5,0,0,"1,215",0,FALSE, , , , , , , , , , , , , , , , 
,Cade Hornecker,Abilene Christian,AWAY,Stephen F. Austin,Southland,0,0,Bench,0,6,2,3,0,1,0,0,0,1,0,0,0,0,4,0,15.861,0,28.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,6.5,1,0,0,0,FALSE, , , , , , , , , , , , , , , , 
,Cbo Newton,Abilene Christian,HOME,Nebraska Omaha,Summit,0,0,Starter,1,27,3,11,1,4,3,3,1,2,0,2,1,4,10,0,27.277,0,28.974,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,-4.5,1,0,"1,025",0,TRUE,1,27,3,11,1,4,3,3,1,2,0,2,1,4,10,Cbo Newton
,Cbo Newton,Abilene Christian,AWAY,Stephen F. Austin,Southland,0,0,Bench,0,30,6,14,0,3,0,0,0,7,3,0,1,1,12,0,15.861,0,28.974,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-10,6.5,1,0,0,0,TRUE,0,30,6,14,0,3,0,0,0,7,3,0,1,1,12,Cbo Newton
,Cbo Newton,Abilene Christian,AWAY,Texas St.,Sun Belt,0,0,Bench,0,26,6,2,7,1,3,1,4,0,2,2,1,1,22,0,20.683,0,28.974,1,0,0,0,0,0,0,0,1,0,0,0,1,1,-14,1.5,0,0,"1,215",0,TRUE,0,26,6,2,7,1,3,1,4,0,2,2,1,1,22,Cbo Newton
,Christian Alston,Abilene Christian,AWAY,Stephen F. Austin,Southland,0,0,Bench,0,7,0,1,0,0,1,2,0,2,0,0,1,0,1,0,15.861,0,28.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,6.5,1,0,0,0,FALSE, , , , , , , , , , , , , , , , 
,Christian Alston,Abilene Christian,AWAY,Texas St.,Sun Belt,0,0,Bench,0,15,6,2,6,0,1,2,0,1,4,3,0,2,19,0,20.683,0,28.974,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,1.5,0,0,"1,215",0,FALSE, , , , , , , , , , , , , , , , 
,Christian Alston,Abilene Christian,HOME,Nebraska Omaha,Summit,0,0,Bench,0,8,1,3,0,0,1,2,0,0,0,0,0,2,3,0,27.277,0,28.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-4.5,1,0,"1,025",0,FALSE, , , , , , , , , , , , , , , , 
,Isaac Dye,Abilene Christian,AWAY,Texas St.,Sun Belt,0,0,Bench,0,9,0,0,3,0,3,0,1,0,0,0,0,1,6,0,20.683,0,28.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,1.5,0,0,"1,215",0,FALSE, , , , , , , , , , , , , , , , 
,Joseph Scott,Abilene Christian,HOME,Nebraska Omaha,Summit,0,0,Starter,1,22,3,6,0,1,0,0,1,5,1,0,0,4,6,0,27.277,0,28.974,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,-4.5,1,0,"1,025",0,TRUE,1,22,3,6,0,1,0,0,1,5,1,0,0,4,6,Joseph Scott
,Joseph Scott,Abilene Christian,AWAY,Stephen F. Austin,Southland,0,0,Bench,0,18,2,5,0,0,0,0,1,0,2,1,1,3,4,0,15.861,0,28.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,6.5,1,0,0,0,TRUE,0,18,2,5,0,0,0,0,1,0,2,1,1,3,4,Joseph Scott
,Joseph Scott,Abilene Christian,AWAY,Texas St.,Sun Belt,0,0,Bench,0,14,4,1,4,0,0,2,0,1,2,1,0,2,12,0,20.683,0,28.974,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,1.5,0,0,"1,215",0,TRUE,0,14,4,1,4,0,0,2,0,1,2,1,0,2,12,Joseph Scott
,Joseph Venzant,Abilene Christian,AWAY,Stephen F. Austin,Southland,0,0,Starter,1,23,0,0,0,0,0,0,1,2,1,1,1,4,0,0,15.861,0,28.974,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-10,6.5,1,0,0,0,TRUE,1,23,0,0,0,0,0,0,1,2,1,1,1,4,0,Joseph Venzant
