Players,Team,Location,Opponent,Opponent Conference,Power,Top 25,,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,OPP ACTIVE VALUE,OPP HISTORICAL VALUE,TEAM ACTIVE VALUE,TEAM HISTORICAL VALUE,Doubles,Double Doube,Triple Double,0-3+ FG,Perfect 2 FG min 3,Perfect 3 FG min 3,Points Leader,Def Reb Leader,Off Reb Leader,Steal Leader,Assist Leader,Foul Trouble,20+ minutes,20+ points,SM,Line,Clutch ,Overtime,Attendance,Player Points
AK Okereke,Vanderbilt,AWAY,Wake Forest,ACC,1,1,Starter,1,22,2,4,0,2,0,0,0,1,3,0,1,4,4,0,15.996,0,6.944,0,0,0,0,0,0,0,0,0,0,0,1,1,0,31,6.5,0,0,"7,605",0
Tyler Nickel,Vanderbilt,AWAY,Wake Forest,ACC,1,1,Starter,1,29,9,12,8,10,0,0,0,2,0,1,0,1,26,0,15.996,0,6.944,1,0,0,0,0,0,1,0,0,0,0,0,1,1,31,6.5,0,0,"7,605",0
Devin McGlockton,Vanderbilt,AWAY,Wake Forest,ACC,1,1,Starter,1,28,4,10,1,5,2,2,0,7,2,0,2,3,11,0,15.996,0,6.944,1,0,0,0,0,0,0,0,0,0,0,0,1,0,31,6.5,0,0,"7,605",0
Tyler Tanner,Vanderbilt,AWAY,Wake Forest,ACC,1,1,Starter,1,27,5,8,1,2,0,1,0,4,7,5,1,3,11,0,15.996,0,6.944,1,0,0,0,0,0,0,0,0,1,0,0,1,0,31,6.5,0,0,"7,605",0
Duke Miles,Vanderbilt,AWAY,Wake Forest,ACC,1,1,Starter,1,31,4,5,2,3,7,8,1,0,9,5,4,3,17,0,15.996,0,6.944,1,0,0,0,0,0,0,0,0,1,1,0,1,0,31,6.5,0,0,"7,605",0
Tyler Harris,Vanderbilt,AWAY,Wake Forest,ACC,1,1,Bench,0,17,6,12,1,5,1,3,1,2,0,1,1,3,14,0,15.996,0,6.944,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,6.5,0,0,"7,605",0
Jalen Washington,Vanderbilt,AWAY,Wake Forest,ACC,1,1,Bench,0,17,2,4,1,2,2,2,0,3,0,0,0,4,7,0,15.996,0,6.944,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31,6.5,0,0,"7,605",0
Chandler Bing,Vanderbilt,AWAY,Wake Forest,ACC,1,1,Bench,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,15.996,0,6.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,6.5,0,0,"7,605",0
Mike James,Vanderbilt,AWAY,Wake Forest,ACC,1,1,Bench,0,13,1,2,1,2,0,0,0,1,1,0,1,2,3,0,15.996,0,6.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,6.5,0,0,"7,605",0
Tre'Von Spillers,Wake Forest,HOME,Vanderbilt,SEC,1,0,Starter,1,31,1,7,0,0,3,3,1,4,0,1,1,2,5,0,6.944,0,15.996,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-31,6.5,0,0,"7,605",0
Omaha Biliew,Wake Forest,HOME,Vanderbilt,SEC,1,0,Starter,1,23,1,5,0,2,3,5,2,1,0,1,2,2,5,0,6.944,0,15.996,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-31,6.5,0,0,"7,605",0
Juke Harris,Wake Forest,HOME,Vanderbilt,SEC,1,0,Starter,1,37,4,15,2,9,9,12,2,4,0,0,2,2,19,0,6.944,0,15.996,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-31,6.5,0,0,"7,605",0
Nate Calmese,Wake Forest,HOME,Vanderbilt,SEC,1,0,Starter,1,15,2,4,0,0,0,0,0,0,3,0,2,0,4,0,6.944,0,15.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31,6.5,0,0,"7,605",0
Myles Colvin,Wake Forest,HOME,Vanderbilt,SEC,1,0,Starter,1,37,6,11,2,7,6,6,4,8,1,3,4,2,20,0,6.944,0,15.996,2,1,0,0,1,1,0,1,1,0,0,0,1,1,-31,6.5,0,0,"7,605",0
Jaylen Cross,Wake Forest,HOME,Vanderbilt,SEC,1,0,Bench,0,13,2,3,0,0,3,4,1,1,1,0,2,2,7,0,6.944,0,15.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31,6.5,0,0,"7,605",0
Cooper Schwieger,Wake Forest,HOME,Vanderbilt,SEC,1,0,Bench,0,11,0,0,0,0,0,0,0,0,2,1,0,3,0,0,6.944,0,15.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31,6.5,0,0,"7,605",0
Marqus Marion,Wake Forest,HOME,Vanderbilt,SEC,1,0,Bench,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.944,0,15.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31,6.5,0,0,"7,605",0
Sebastian Akins,Wake Forest,HOME,Vanderbilt,SEC,1,0,Bench,0,10,1,4,0,0,1,1,0,2,0,0,1,1,3,0,6.944,0,15.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31,6.5,0,0,"7,605",0
Isaac Carr,Wake Forest,HOME,Vanderbilt,SEC,1,0,Bench,0,11,1,3,0,2,0,0,0,0,1,1,3,3,2,0,6.944,0,15.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31,6.5,0,0,"7,605",0
Mekhi Mason,Wake Forest,HOME,Vanderbilt,SEC,1,0,Bench,0,7,1,2,0,1,0,1,0,0,0,0,0,0,2,0,6.944,0,15.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31,6.5,0,0,"7,605",0
0,0,NEUTRAL,Vanderbilt,SEC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.944,0,6.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31,6.5,0,0,"7,605",0
0,0,NEUTRAL,Vanderbilt,SEC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.944,0,6.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31,6.5,0,0,"7,605",0
0,0,NEUTRAL,Vanderbilt,SEC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.944,0,6.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31,6.5,0,0,"7,605",0
0,0,NEUTRAL,Vanderbilt,SEC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.944,0,6.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31,6.5,0,0,"7,605",0
0,0,NEUTRAL,Vanderbilt,SEC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.944,0,6.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31,6.5,0,0,"7,605",0
0,0,NEUTRAL,Vanderbilt,SEC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.944,0,6.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31,6.5,0,0,"7,605",0
0,0,NEUTRAL,Vanderbilt,SEC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.944,0,6.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31,6.5,0,0,"7,605",0
0,0,NEUTRAL,Vanderbilt,SEC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.944,0,6.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31,6.5,0,0,"7,605",0
0,0,NEUTRAL,Vanderbilt,SEC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.944,0,6.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31,6.5,0,0,"7,605",0
