Team,,FGM,FGA,FG3sM,FG3sA,FTM,FTA,OReb,DReb,AST,TO,STL,PF,PTS_OFF_TURN,FST_BREAK,PTS_PAINT,Points,Opp Points,Win,Loss,OPP_FGM,OPP_FGA,OPP_FG3sM,OPP_FG3sA,OPP_OReb,OPP_DReb,OPP_AST,OPP_TO,OPP_PF,OPP_PTS_OFF_TURN,OPP_FST_BREAK,OPP_PTS_PAINT
Abilene Christian,,225,554,61,185,148,206,12.3,19.4,11.4,14.5,9.3,21.4,13.8,7.8,28.2,65.9,73.3,8,5,233,467,60,156,7.3,23,12.1,14.5,17,16,15,31.2
Air Force,,269,604,78,246,170,264,8.08333333333333,23.3333333333333,12.5833333333333,14.25,6.25,17.3333333333333,12.5833333333333,7.25,30.8333333333333,65.5,74.1666666666667,8,5,319,687,84,249,10.5833333333333,23.5833333333333,14.1666666666667,11.4166666666667,19.3333333333333,16.5,10,33.8333333333333
Akron,,376,715,117,288,169,225,11.3636363636364,25.0909090909091,19.6363636363636,9.90909090909091,7.27272727272727,15.9090909090909,18,16.3636363636364,42.3636363636364,94.3636363636364,80.3636363636364,8,5,310,697,107,304,13,20.9090909090909,14.8181818181818,13.4545454545455,16.8181818181818,11.8181818181818,8.09090909090909,33.6363636363636
Alabama,,415,886,170,476,229,301,13,29.1538461538462,17.6153846153846,10.0769230769231,7.30769230769231,18.5384615384615,14.7692307692308,15.4615384615385,35.0769230769231,94.5384615384615,81.6153846153846,10,3,378,903,103,321,15.0769230769231,25.8461538461538,13.7692307692308,10.8461538461538,18.4615384615385,10.8461538461538,11,37.2307692307692
Alabama A&M,,217,552,61,184,152,217,9.3,24,9.1,11.2,5.8,18.8,9.9,6.6,23.2,64.7,74.4,6,6,259,551,76,221,9.7,27.9,15.1,11.1,18.3,12.2,12.9,33
Alabama St.,,289,721,95,275,169,244,11.75,21.5,11.5,12.5,7.33333333333333,16.6666666666667,12.25,11.8333333333333,26.5,70.1666666666667,85,8,5,361,737,120,329,13.1666666666667,26.4166666666667,18.25,12.6666666666667,16.25,16.8333333333333,15.0833333333333,37.1666666666667
Albany,,281,653,78,257,106,176,10.8181818181818,21,13,12.9090909090909,7.18181818181818,18.5454545454545,11.3636363636364,10.9090909090909,30.3636363636364,67.8181818181818,82,8,5,313,653,94,262,12.1818181818182,25.7272727272727,17.0909090909091,10.9090909090909,16.0909090909091,14.9090909090909,11.3636363636364,35.0909090909091
Alcorn St.,,287,701,85,237,105,165,9.83333333333333,18.75,10,17,7.91666666666667,18.1666666666667,11.75,10.1666666666667,26.6666666666667,63.6666666666667,91.25,8,5,387,743,103,281,13.9166666666667,26.5,17.5833333333333,12.75,13.4166666666667,21.8333333333333,16.75,44.3333333333333
American,,273,650,105,312,153,201,9,20.8181818181818,11.8181818181818,11.6363636363636,7.90909090909091,19.6363636363636,14.3636363636364,11,28.9090909090909,73.0909090909091,79.2727272727273,8,5,297,596,76,206,10.2727272727273,27.3636363636364,14,13.6363636363636,17.1818181818182,13.6363636363636,9.72727272727273,36.5454545454545
Appalachian St.,,282,656,89,282,150,245,9.83333333333333,24.75,11.75,10.3333333333333,4.58333333333333,16.8333333333333,12,7.5,28.8333333333333,66.9166666666667,69.3333333333333,8,5,280,691,90,304,12.5833333333333,25,12.3333333333333,10.0833333333333,18.0833333333333,14.0833333333333,8.33333333333333,27.6666666666667
Arizona,,416,800,88,233,254,348,13.9230769230769,29.6923076923077,19.3076923076923,12.7692307692308,8.84615384615385,15.5384615384615,19.8461538461538,17.4615384615385,46.3076923076923,90.3076923076923,66.2307692307692,8,5,304,773,92,278,9.69230769230769,19.3076923076923,12,14.3076923076923,19.1538461538462,13.3846153846154,9,25.2307692307692
Arizona St.,,344,741,104,290,248,331,9.38461538461538,23.6153846153846,13.4615384615385,11,7.30769230769231,18.1538461538462,17,15.0769230769231,32.9230769230769,80,75.2307692307692,8,5,328,749,113,340,10.9230769230769,23.5384615384615,13.2307692307692,14.1538461538462,21.1538461538462,13.3076923076923,10,30
Arkansas,,401,816,125,315,250,336,11.3846153846154,26.6153846153846,18.1538461538462,9.53846153846154,7.92307692307692,16,15.7692307692308,22.1538461538462,37.5384615384615,90.5384615384615,74.8461538461538,8,5,354,845,113,369,12.1538461538462,22.8461538461538,14.4615384615385,12.0769230769231,18.9230769230769,9.53846153846154,8.84615384615385,34.4615384615385
